fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Id,quality
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,40,Average
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,41,Poor
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,42,Good
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,43,Average
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,45,Poor
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,46,Average
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,50,Average
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,51,Good
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,52,Good
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,53,Average
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,54,Good
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,56,Average
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,58,Average
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,59,Good
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,60,Average
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,61,Average
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,63,Average
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,64,Average
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,65,Average
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,67,Average
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,69,Good
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,72,Average
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,73,Poor
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,76,Average
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,77,Good
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,78,Average
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,79,Poor
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,80,Average
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,82,Average
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,84,Good
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,85,Average
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,86,Good
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,87,Average
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,88,Average
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,89,Average
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,90,Average
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,91,Good
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,93,Average
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,94,Poor
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,96,Average
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,98,Average
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,99,Good
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,100,Good
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,102,Good
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,103,Average
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,104,Average
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,105,Average
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,106,Average
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,107,Average
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,110,Average
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,111,Average
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,113,Good
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,114,Average
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,115,Good
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,116,Good
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,120,Average
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,121,Good
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,122,Average
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,124,Average
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,126,Average
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,127,Average
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,128,Very God
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,130,Average
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,131,Average
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,134,Good
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,135,Average
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,137,Average
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,140,Average
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,142,Good
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,143,Average
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,144,Good
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,145,Average
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,146,Average
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,148,Good
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,150,Good
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,151,Poor
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,152,Average
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,153,Average
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,155,Average
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,156,Average
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,157,Average
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,158,Average
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,159,Good
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,160,Average
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,161,Poor
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,162,Good
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,163,Average
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,164,Average
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,165,Average
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,166,Average
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,167,Poor
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,168,Good
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,170,Poor
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,172,Good
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,173,Good
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,175,Average
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,176,Average
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,177,Good
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,178,Average
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,179,Average
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,180,Average
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,181,Average
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,182,Average
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,183,Average
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,184,Good
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,185,Average
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,186,Average
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,188,Average
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,190,Average
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,191,Good
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,193,Average
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,194,Average
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,196,Average
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,197,Good
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,199,Poor
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,200,Very God
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,204,Good
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,205,Very God
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,206,Very God
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,208,Average
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,210,Good
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,211,Good
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,213,Average
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,214,Good
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,215,Average
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,216,Average
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,217,Average
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,218,Average
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,220,Good
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,221,Average
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,222,Average
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,223,Good
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,225,Good
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,226,Good
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,230,Very God
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,231,Good
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,232,Good
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,234,Good
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,235,Good
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,240,Average
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,241,Good
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,242,Good
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,243,Very God
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,244,Very God
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,245,Good
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,246,Average
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,249,Good
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,250,Good
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,251,Good
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,252,Average
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,253,Average
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,255,Average
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,256,Average
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,257,Average
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,258,Average
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,259,Very God
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,260,Average
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,261,Poor
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,262,Average
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,263,Average
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,264,Average
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,266,Poor
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,267,Excellent
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,268,Good
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,269,Good
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,270,Good
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,275,Good
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,276,Good
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,277,Good
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,278,Excellent
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,279,Very God
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,280,Good
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,281,Very God
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,283,Very God
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,284,Average
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,285,Average
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,286,Good
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,287,Good
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,288,Very God
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,289,Average
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,290,Very God
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,292,Good
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,293,Good
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,294,Good
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,295,Average
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,296,Average
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,297,Average
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,298,Average
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,300,Good
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,301,Good
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,302,Average
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,304,Average
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,306,Average
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,307,Good
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,308,Good
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,311,Good
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,312,Good
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,313,Average
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,314,Average
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,318,Very God
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,319,Good
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,321,Average
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,324,Good
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,325,Good
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,326,Very God
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,327,Average
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,328,Good
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,333,Average
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,334,Very God
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,335,Very God
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,336,Good
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,337,Average
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,339,Very God
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,342,Good
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,343,Good
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,344,Good
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,347,Good
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,348,Good
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,351,Good
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,352,Average
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,353,Average
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,354,Good
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,355,Good
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,356,Average
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,357,Very God
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,358,Very God
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,359,Good
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,360,Average
8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,361,Good
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,362,Average
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,363,Average
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,364,Very God
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,366,Very God
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,367,Average
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,369,Very God
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,371,Good
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,372,Good
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,376,Good
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,377,Very God
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,378,Good
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,380,Good
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,384,Average
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,388,Good
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,390,Excellent
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,391,Good
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,392,Average
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,395,Very God
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,396,Average
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,397,Good
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,399,Average
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,400,Average
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,402,Good
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,403,Good
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,404,Average
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,406,Good
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,407,Very God
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,409,Poor
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,410,Good
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,412,Average
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,413,Very God
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,414,Average
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,415,Average
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,416,Good
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,417,Average
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,418,Good
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,419,Average
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,421,Very God
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,422,Average
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,423,Very God
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,425,Very God
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,426,Good
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,427,Good
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,428,Average
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,429,Good
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,430,Very God
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,431,Average
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,433,Average
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,434,Good
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,435,Average
